Group3,Group3_1,Group3_2,Group3_3,Group3_4,Group3_5,Group3_6
ENSMUSG00000078570,ENSMUSG00000039450,ENSMUSG00000050138,ENSMUSG00000048752,ENSMUSG00000033088,ENSMUSG00000071711,ENSMUSG00000061477
ENSMUSG00000043687,ENSMUSG00000007039,ENSMUSG00000074657,ENSMUSG00000026126,ENSMUSG00000044328,ENSMUSG00000031760,ENSMUSG00000006333
ENSMUSG00000030030,ENSMUSG00000042388,ENSMUSG00000040714,ENSMUSG00000027510,ENSMUSG00000044986,ENSMUSG00000038065,ENSMUSG00000032518
ENSMUSG00000020940,ENSMUSG00000026203,ENSMUSG00000030124,ENSMUSG00000025350,ENSMUSG00000045136,ENSMUSG00000030681,ENSMUSG00000043811
ENSMUSG00000078572,ENSMUSG00000078440,ENSMUSG00000039252,ENSMUSG00000045232,ENSMUSG00000030579,ENSMUSG00000030739,ENSMUSG00000046229
ENSMUSG00000071302,ENSMUSG00000042737,ENSMUSG00000003123,ENSMUSG00000071648,ENSMUSG00000090137,ENSMUSG00000092009,ENSMUSG00000031610
ENSMUSG00000058833,ENSMUSG00000024132,ENSMUSG00000036111,ENSMUSG00000059291,ENSMUSG00000025171,ENSMUSG00000037139,ENSMUSG00000020877
ENSMUSG00000087075,ENSMUSG00000090264,ENSMUSG00000030600,ENSMUSG00000038900,ENSMUSG00000071655,ENSMUSG00000079334,ENSMUSG00000029596
ENSMUSG00000003346,ENSMUSG00000008140,ENSMUSG00000033707,ENSMUSG00000074129,ENSMUSG00000090145,ENSMUSG00000036199,ENSMUSG00000039154
ENSMUSG00000036880,ENSMUSG00000033726,ENSMUSG00000070639,ENSMUSG00000059070,ENSMUSG00000090175,ENSMUSG00000033938,ENSMUSG00000017765
ENSMUSG00000032281,ENSMUSG00000028445,ENSMUSG00000030339,ENSMUSG00000063316,ENSMUSG00000020163,ENSMUSG00000020153,ENSMUSG00000004902
ENSMUSG00000076435,ENSMUSG00000015085,ENSMUSG00000022577,ENSMUSG00000057863,ENSMUSG00000021256,ENSMUSG00000042419,ENSMUSG00000040740
ENSMUSG00000035370,ENSMUSG00000004610,ENSMUSG00000036278,ENSMUSG00000041841,ENSMUSG00000048967,ENSMUSG00000041309,ENSMUSG00000048856
ENSMUSG00000051149,ENSMUSG00000050212,ENSMUSG00000040390,ENSMUSG00000003970,ENSMUSG00000028042,ENSMUSG00000054958,ENSMUSG00000020733
ENSMUSG00000007833,ENSMUSG00000034282,ENSMUSG00000035478,ENSMUSG00000007892,ENSMUSG00000064264,ENSMUSG00000020591,ENSMUSG00000045179
ENSMUSG00000029455,ENSMUSG00000021280,ENSMUSG00000027239,ENSMUSG00000025508,ENSMUSG00000054716,ENSMUSG00000046160,ENSMUSG00000002111
ENSMUSG00000017390,ENSMUSG00000061286,ENSMUSG00000002274,ENSMUSG00000063457,ENSMUSG00000049577,ENSMUSG00000027257,ENSMUSG00000056222
ENSMUSG00000002985,ENSMUSG00000057411,ENSMUSG00000036155,ENSMUSG00000037563,ENSMUSG00000075227,ENSMUSG00000035863,ENSMUSG00000070003
ENSMUSG00000038704,ENSMUSG00000041556,ENSMUSG00000008035,ENSMUSG00000039001,ENSMUSG00000038811,ENSMUSG00000042613,ENSMUSG00000004366
