Sleep-Syn,Circadian-Syn,Activity,Pos. Controls
ENSMUSG00000000197,ENSMUSG00000049556,ENSMUSG00000022602,ENSMUSG00000008348
ENSMUSG00000051599,ENSMUSG00000035864,ENSMUSG00000022623,ENSMUSG00000032383
,ENSMUSG00000070570,,ENSMUSG00000005198
